ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0060390	regulation of SMAD protein import into nucleus	3/79	16/17381	4.84977667003956e-05	0.0311785417274609	0.0283423358188014	BMP4/RBPMS/NOV	3
BP	GO:0016137	glycoside metabolic process	3/79	18/17381	7.02064398043065e-05	0.0311785417274609	0.0283423358188014	AKR1C1/AKR1C3/AKR1B10	3
BP	GO:2001236	regulation of extrinsic apoptotic signaling pathway	6/79	154/17381	7.15840703844561e-05	0.0311785417274609	0.0283423358188014	BMP4/SCG2/HMOX1/HSPA1B/LMNA/DEPTOR	6
BP	GO:2001237	negative regulation of extrinsic apoptotic signaling pathway	5/79	103/17381	0.000105504025086756	0.0311785417274609	0.0283423358188014	BMP4/SCG2/HMOX1/HSPA1B/LMNA	5
BP	GO:0006855	drug transmembrane transport	3/79	22/17381	0.000130772581050145	0.0311785417274609	0.0283423358188014	ATP8B1/ABCB1/SLC22A18	3
BP	GO:0048608	reproductive structure development	9/79	429/17381	0.000139574348214631	0.0311785417274609	0.0283423358188014	BMP4/PLEKHA1/CDX2/LDOC1/AKR1C3/CST3/NUPR1/SLIT3/INHBB	9
BP	GO:0061458	reproductive system development	9/79	432/17381	0.000147077979451085	0.0311785417274609	0.0283423358188014	BMP4/PLEKHA1/CDX2/LDOC1/AKR1C3/CST3/NUPR1/SLIT3/INHBB	9
BP	GO:0007184	SMAD protein import into nucleus	3/79	23/17381	0.000149896835228177	0.0311785417274609	0.0283423358188014	BMP4/RBPMS/NOV	3
BP	GO:0042246	tissue regeneration	4/79	62/17381	0.000180514652594869	0.0333751535464291	0.0303391293308569	CPQ/KLK6/TM4SF4/NOV	4
BP	GO:0042445	hormone metabolic process	6/79	192/17381	0.000239233160034666	0.0398083978297684	0.0361871632599805	CPQ/KLK6/PLEKHA1/AKR1C1/AKR1C3/SCG5	6
BP	GO:0034599	cellular response to oxidative stress	7/79	283/17381	0.00030024672060533	0.041828054311869	0.0380230984603718	PLEKHA1/HMOX1/AKR1C3/CST3/HSPA1B/GPX3/NQO1	7
BP	GO:0015893	drug transport	3/79	29/17381	0.000303260149891869	0.041828054311869	0.0380230984603718	ATP8B1/ABCB1/SLC22A18	3
BP	GO:1901661	quinone metabolic process	3/79	30/17381	0.000335855561313099	0.041828054311869	0.0380230984603718	AKR1C1/AKR1C3/AKR1B10	3
BP	GO:0010817	regulation of hormone levels	9/79	486/17381	0.00035191872618159	0.041828054311869	0.0380230984603718	CPQ/KLK6/PLEKHA1/AKR1C1/AKR1C3/NOV/SCG5/KCNS3/INHBB	9
BP	GO:0051170	nuclear import	7/79	297/17381	0.000401614894184232	0.0445524789281708	0.0404996914345784	BMP4/AKR1C3/RBPMS/HTATIP2/NOV/BAMBI/LMNA	7
BP	GO:0008406	gonad development	6/79	218/17381	0.00047140531931866	0.046142261843897	0.0419448572050102	PLEKHA1/AKR1C3/CST3/NUPR1/SLIT3/INHBB	6
BP	GO:0097191	extrinsic apoptotic signaling pathway	6/79	218/17381	0.00047140531931866	0.046142261843897	0.0419448572050102	BMP4/SCG2/HMOX1/HSPA1B/LMNA/DEPTOR	6
MF	GO:0004033	aldo-keto reductase (NADP) activity	4/79	26/17354	5.51003375411388e-06	0.00133342816849556	0.00113100692847601	AKR1C1/AKR1C3/AKR1B10/CYB5A	4
MF	GO:0016628	oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor	3/79	25/17354	0.000194283189650362	0.0235082659476939	0.0199395905167477	BLVRB/AKR1C1/AKR1C3	3
