ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0006911	phagocytosis, engulfment	4/34	82/17381	1.91584577180559e-05	0.0104284061436782	0.00756384302777477	NCKAP1L/AIF1/IGLL1/ITGB2	4
BP	GO:0099024	plasma membrane invagination	4/34	91/17381	2.89137115159148e-05	0.0104284061436782	0.00756384302777477	NCKAP1L/AIF1/IGLL1/ITGB2	4
BP	GO:0010324	membrane invagination	4/34	99/17381	4.02767447177635e-05	0.0104284061436782	0.00756384302777477	NCKAP1L/AIF1/IGLL1/ITGB2	4
BP	GO:0002696	positive regulation of leukocyte activation	6/34	347/17381	5.08521201405501e-05	0.0104284061436782	0.00756384302777477	NCKAP1L/CD83/TRAC/AIF1/IGLL1/ITGB2	6
BP	GO:0050867	positive regulation of cell activation	6/34	359/17381	6.14158194562909e-05	0.0104284061436782	0.00756384302777477	NCKAP1L/CD83/TRAC/AIF1/IGLL1/ITGB2	6
BP	GO:0007159	leukocyte cell-cell adhesion	6/34	374/17381	7.70211868794632e-05	0.010898497943444	0.00790480602183964	NCKAP1L/CD83/TRAC/AIF1/MSN/ITGB2	6
BP	GO:0051249	regulation of lymphocyte activation	6/34	455/17381	0.000224682880847198	0.0242183879932603	0.0175658756134862	NCKAP1L/CD83/TRAC/AIF1/IGLL1/LST1	6
BP	GO:0042110	T cell activation	6/34	467/17381	0.000258528093893542	0.0242183879932603	0.0175658756134862	NCKAP1L/CD83/TRAC/AIF1/MSN/RHOH	6
BP	GO:0035723	interleukin-15-mediated signaling pathway	2/34	13/17381	0.000285823771989161	0.0242183879932603	0.0175658756134862	IL2RB/STAT5A	2
BP	GO:0071350	cellular response to interleukin-15	2/34	13/17381	0.000285823771989161	0.0242183879932603	0.0175658756134862	IL2RB/STAT5A	2
BP	GO:0070672	response to interleukin-15	2/34	14/17381	0.000333052231158793	0.0242183879932603	0.0175658756134862	IL2RB/STAT5A	2
BP	GO:0051251	positive regulation of lymphocyte activation	5/34	315/17381	0.000342309370929474	0.0242183879932603	0.0175658756134862	NCKAP1L/CD83/TRAC/AIF1/IGLL1	5
BP	GO:0050870	positive regulation of T cell activation	4/34	215/17381	0.000789253603768596	0.0474642855547124	0.0344263927214764	NCKAP1L/CD83/TRAC/AIF1	4
BP	GO:0060396	growth hormone receptor signaling pathway	2/34	22/17381	0.000837187561210006	0.0474642855547124	0.0344263927214764	SOCS2/STAT5A	2
BP	GO:0009081	branched-chain amino acid metabolic process	2/34	23/17381	0.000915796660192904	0.0474642855547124	0.0344263927214764	BCAT1/STAT5A	2
BP	GO:0071378	cellular response to growth hormone stimulus	2/34	23/17381	0.000915796660192904	0.0474642855547124	0.0344263927214764	SOCS2/STAT5A	2
BP	GO:1903039	positive regulation of leukocyte cell-cell adhesion	4/34	226/17381	0.000950403833251014	0.0474642855547124	0.0344263927214764	NCKAP1L/CD83/TRAC/AIF1	4
BP	GO:1901988	negative regulation of cell cycle phase transition	4/34	235/17381	0.00109851369707149	0.0485576641665083	0.0352194328155816	SLFN11/NDC80/BUB1/ATF5	4
BP	GO:0043372	positive regulation of CD4-positive, alpha-beta T cell differentiation	2/34	27/17381	0.00126432066375892	0.0485576641665083	0.0352194328155816	NCKAP1L/CD83	2
BP	GO:0001818	negative regulation of cytokine production	4/34	245/17381	0.00128136050602767	0.0485576641665083	0.0352194328155816	NCKAP1L/CD83/NMI/HERC5	4
BP	GO:0050851	antigen receptor-mediated signaling pathway	4/34	257/17381	0.00152778131460496	0.0485576641665083	0.0352194328155816	NCKAP1L/TRAC/LCP2/IGLL1	4
BP	GO:0007094	mitotic spindle assembly checkpoint	2/34	30/17381	0.00156114662135702	0.0485576641665083	0.0352194328155816	NDC80/BUB1	2
BP	GO:0071173	spindle assembly checkpoint	2/34	30/17381	0.00156114662135702	0.0485576641665083	0.0352194328155816	NDC80/BUB1	2
BP	GO:0071174	mitotic spindle checkpoint	2/34	30/17381	0.00156114662135702	0.0485576641665083	0.0352194328155816	NDC80/BUB1	2
BP	GO:0022409	positive regulation of cell-cell adhesion	4/34	259/17381	0.00157184714878567	0.0485576641665083	0.0352194328155816	NCKAP1L/CD83/TRAC/AIF1	4
BP	GO:1901987	regulation of cell cycle phase transition	5/34	446/17381	0.00163778783476222	0.0485576641665083	0.0352194328155816	SLFN11/NDC80/AIF1/BUB1/ATF5	5
BP	GO:0045841	negative regulation of mitotic metaphase/anaphase transition	2/34	31/17381	0.00166676976916914	0.0485576641665083	0.0352194328155816	NDC80/BUB1	2
BP	GO:2000516	positive regulation of CD4-positive, alpha-beta T cell activation	2/34	31/17381	0.00166676976916914	0.0485576641665083	0.0352194328155816	NCKAP1L/CD83	2
BP	GO:1902100	negative regulation of metaphase/anaphase transition of cell cycle	2/34	32/17381	0.00177571238566889	0.0485576641665083	0.0352194328155816	NDC80/BUB1	2
BP	GO:0046651	lymphocyte proliferation	4/34	268/17381	0.00178117984636438	0.0485576641665083	0.0352194328155816	NCKAP1L/AIF1/MSN/LST1	4
BP	GO:0007249	I-kappaB kinase/NF-kappaB signaling	4/34	270/17381	0.00183020642323706	0.0485576641665083	0.0352194328155816	TIFA/RHOH/APOL3/CASP1	4
BP	GO:0032943	mononuclear cell proliferation	4/34	270/17381	0.00183020642323706	0.0485576641665083	0.0352194328155816	NCKAP1L/AIF1/MSN/LST1	4
BP	GO:0031577	spindle checkpoint	2/34	34/17381	0.00200350559494363	0.0487766623383369	0.0353782747107149	NDC80/BUB1	2
BP	GO:2000816	negative regulation of mitotic sister chromatid separation	2/34	34/17381	0.00200350559494363	0.0487766623383369	0.0353782747107149	NDC80/BUB1	2
BP	GO:0050900	leukocyte migration	5/34	471/17381	0.00207998233439362	0.0487766623383369	0.0353782747107149	NCKAP1L/AIF1/MSN/IGLL1/ITGB2	5
BP	GO:1905819	negative regulation of chromosome separation	2/34	35/17381	0.00212233105811384	0.0487766623383369	0.0353782747107149	NDC80/BUB1	2
BP	GO:0060416	response to growth hormone	2/34	36/17381	0.00224442573060405	0.0487766623383369	0.0353782747107149	SOCS2/STAT5A	2
BP	GO:0070661	leukocyte proliferation	4/34	286/17381	0.00225675958484804	0.0487766623383369	0.0353782747107149	NCKAP1L/AIF1/MSN/LST1	4
BP	GO:0033048	negative regulation of mitotic sister chromatid segregation	2/34	37/17381	0.00236977713254554	0.0487766623383369	0.0353782747107149	NDC80/BUB1	2
BP	GO:0033046	negative regulation of sister chromatid segregation	2/34	39/17381	0.00263020037438788	0.0487766623383369	0.0353782747107149	NDC80/BUB1	2
BP	GO:0033628	regulation of cell adhesion mediated by integrin	2/34	39/17381	0.00263020037438788	0.0487766623383369	0.0353782747107149	NCKAP1L/PLAU	2
BP	GO:0038111	interleukin-7-mediated signaling pathway	2/34	39/17381	0.00263020037438788	0.0487766623383369	0.0353782747107149	SOCS2/STAT5A	2
BP	GO:0008360	regulation of cell shape	3/34	142/17381	0.00265406448992752	0.0487766623383369	0.0353782747107149	MSN/LST1/ITGB2	3
BP	GO:0071346	cellular response to interferon-gamma	3/34	144/17381	0.00276126130224125	0.0487766623383369	0.0353782747107149	NMI/AIF1/CASP1	3
BP	GO:0046638	positive regulation of alpha-beta T cell differentiation	2/34	40/17381	0.0027652474233965	0.0487766623383369	0.0353782747107149	NCKAP1L/CD83	2
BP	GO:0051985	negative regulation of chromosome segregation	2/34	40/17381	0.0027652474233965	0.0487766623383369	0.0353782747107149	NDC80/BUB1	2
BP	GO:0098760	response to interleukin-7	2/34	40/17381	0.0027652474233965	0.0487766623383369	0.0353782747107149	SOCS2/STAT5A	2
BP	GO:0098761	cellular response to interleukin-7	2/34	40/17381	0.0027652474233965	0.0487766623383369	0.0353782747107149	SOCS2/STAT5A	2
BP	GO:0035264	multicellular organism growth	3/34	146/17381	0.00287110285871233	0.0487766623383369	0.0353782747107149	SOCS2/STAT5A/ATF5	3
BP	GO:0043370	regulation of CD4-positive, alpha-beta T cell differentiation	2/34	41/17381	0.00290350161991551	0.0487766623383369	0.0353782747107149	NCKAP1L/CD83	2
BP	GO:0007595	lactation	2/34	42/17381	0.00304495065245213	0.0487766623383369	0.0353782747107149	SOCS2/STAT5A	2
BP	GO:0045429	positive regulation of nitric oxide biosynthetic process	2/34	42/17381	0.00304495065245213	0.0487766623383369	0.0353782747107149	AIF1/ITGB2	2
BP	GO:1904407	positive regulation of nitric oxide metabolic process	2/34	42/17381	0.00304495065245213	0.0487766623383369	0.0353782747107149	AIF1/ITGB2	2
CC	GO:0000778	condensed nuclear chromosome kinetochore	2/37	11/18511	0.000211398738684673	0.0105143995576055	0.00760077076453409	NDC80/BUB1	2
CC	GO:0000940	condensed chromosome outer kinetochore	2/37	12/18511	0.00025335902548447	0.0105143995576055	0.00760077076453409	NDC80/BUB1	2
CC	GO:0000780	condensed nuclear chromosome, centromeric region	2/37	22/18511	0.000875659786162303	0.0242265874171571	0.0175131957232461	NDC80/BUB1	2
CC	GO:0009897	external side of plasma membrane	4/37	270/18511	0.00200210560334617	0.0415436912694329	0.0300315840501925	CD83/IGLL1/IL2RB/ITGB2	4
MF	GO:0031072	heat shock protein binding	3/32	105/17354	0.000939643720751505	0.045875722964043	0.0355822781992577	SACS/NASP/ITGB2	3
MF	GO:0005200	structural constituent of cytoskeleton	3/32	106/17354	0.000965804693979852	0.045875722964043	0.0355822781992577	NDC80/MSN/VIM	3
