ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04670	Leukocyte transendothelial migration	3/18	112/7382	0.00234982354952144	0.00234982354952144	0.103686735529239	4478/399/3689	3
hsa05162	Measles	3/18	134/7382	0.00390885537756076	0.00390885537756076	0.103686735529239	4478/3560/6776	3
hsa04630	Jak-STAT signaling pathway	3/18	162/7382	0.00664388237524411	0.00664388237524411	0.103686735529239	8835/3560/6776	3
hsa05134	Legionellosis	2/18	55/7382	0.00772567833355111	0.00772567833355111	0.103686735529239	3689/834	2
hsa04917	Prolactin signaling pathway	2/18	70/7382	0.0122956586392509	0.0122956586392509	0.103911486626663	8835/6776	2
hsa04810	Regulation of actin cytoskeleton	3/18	208/7382	0.0131637316283627	0.0131637316283627	0.103911486626663	3071/4478/3689	3
hsa05133	Pertussis	2/18	76/7382	0.0143857585527832	0.0143857585527832	0.103911486626663	3689/834	2
hsa04610	Complement and coagulation cascades	2/18	79/7382	0.0154848489875026	0.0154848489875026	0.103911486626663	3689/5328	2
hsa04658	Th1 and Th2 cell differentiation	2/18	92/7382	0.0206493116061647	0.0206493116061647	0.121530401710285	3560/6776	2
hsa05166	HTLV-I infection	3/18	255/7382	0.022638016004857	0.022638016004857	0.121530401710285	3560/6776/3689	3
hsa04659	Th17 cell differentiation	2/18	107/7382	0.0273792441393397	0.0273792441393397	0.133621191493428	3560/6776	2
hsa04650	Natural killer cell mediated cytotoxicity	2/18	133/7382	0.0408311032233357	0.0408311032233357	0.174014545524014	3937/3689	2
hsa01210	2-Oxocarboxylic acid metabolism	1/18	18/7382	0.0430411465919204	0.0430411465919204	0.174014545524014	586	1
hsa00770	Pantothenate and CoA biosynthesis	1/18	19/7382	0.045380263832733	0.045380263832733	0.174014545524014	586	1
